name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Rafael Leão,FW,IF,AF,L,unnatural,B,C,82,76,72,86,77,81,84,60,93,79,89,33,34,20,20,20,20,Trickster,Clutch,POR,acmilan,,
Giménez,FW,Poacher,TM,,,C,D,81,84,80,78,72,75,64,52,78,68,77,47,51,20,20,20,20,,,MEX,acmilan,,
Pulisic,FW,WG,AF,R,natural,B,C,85,84,40,87,78,80,80,75,88,57,70,46,40,20,20,20,20,Rapid,,USA,acmilan,,
Füllkrug,FW,TM,,,,B,D,79,81,87,77,68,76,65,68,57,86,87,46,24,20,20,20,20,Aerial Threat,,GER,acmilan,,
Nkunku,MF,AP,IF,L,unnatural,C,D,80,81,65,83,80,80,78,78,77,63,74,42,40,20,20,20,20,Tight Control,,FRA,acmilan,,
Rabiot,MF,B2B,CDM,,,A,A,79,88,83,85,84,84,78,59,81,82,89,78,78,20,20,20,20,Tight Control,,FRA,acmilan,,
Fofana,MF,CDM,CM,,,C,B,66,74,63,80,80,78,66,56,68,73,73,76,78,20,20,20,20,Interception,,FRA,acmilan,,
Loftus-Cheek,MF,B2B,DLP,,,C,C,76,83,85,83,82,79,75,57,81,85,94,76,75,20,20,20,20,Aerial Threat,,ENG,acmilan,,
Modrić,MF,CM,DLP,,,A,D,68,76,55,88,88,88,86,78,69,58,66,70,76,20,20,20,20,Press-Resistant,Tempo Dictate,CRO,acmilan,,
Ricci,MF,CM,DLP,,,C,B,53,68,57,83,82,78,62,62,78,65,72,71,73,20,20,20,20,,,ITA,acmilan,,
Jashari,MF,DLP,CM,,,B,B,64,65,62,75,78,76,68,62,76,80,81,70,74,20,20,20,20,Engine,,SUI,acmilan,,
Bartesaghi,DF,WB,WM,L,unnatural,C,D,48,68,70,71,64,53,65,59,74,75,80,69,68,20,20,20,20,,,ITA,acmilan,,
Estupiñán,DF,WB,WM,L,unnatural,C,B,48,70,70,79,76,72,79,79,77,68,77,75,79,20,20,20,20,,,ECU,acmilan,,
Pavlovic,DF,CB,,,,D,B,43,34,81,72,65,31,65,38,74,83,89,76,73,20,20,20,20,,Aggressive,SRB,acmilan,,
De Winter,DF,CB,,,,C,C,30,48,76,67,67,42,59,34,67,70,79,75,71,20,20,20,20,,,BEL,acmilan,,
Gabbia,DF,CB,,,,C,B,22,23,85,75,75,45,41,38,48,70,74,82,80,20,20,20,20,,,ITA,acmilan,,
Tomori,DF,CB,,,,B,C,33,37,80,71,71,48,64,40,81,76,88,81,79,20,20,20,20,,Aggressive,ENG,acmilan,,
Saelemaekers,MF,WM,WG,R,comfort,A,B,68,75,60,84,75,71,81,67,80,54,70,68,69,20,20,20,20,,,BEL,acmilan,,
Odogu,DF,CB,,,,D,D,26,23,65,60,55,35,30,37,67,74,74,65,65,20,20,20,20,,,ITA,acmilan,,
Athekame,DF,WB,WM,R,unnatural,C,D,24,50,55,63,52,38,58,30,82,77,81,59,60,20,20,20,20,,,SUI,acmilan,,
Mul-Balentien,MF,WM,AF,R,unnatural,C,D,56,61,56,65,59,51,61,48,64,56,62,43,29,20,20,20,20,,,NED,acmilan,,
Maignan,GK,GK-S,GK-SK,,,A,C,35,35,37,40,63,65,38,36,64,83,84,33,35,88,84,57,85,Cross Claim,,FRA,acmilan,,
Terracciano,GK,GK-S,,,,B,C,32,31,35,32,24,45,33,32,41,60,79,37,36,82,75,61,72,,,ITA,acmilan,,
