name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Raya,GK,GK-SK,,,,A,C,39,35,30,43,65,68,32,35,62,38,86,62,31,87,84,84,87,GK Cross Claim,,ESP,arsenal,,
Saliba,DF,CB,BPD,,,B,B,35,54,83,79,78,62,58,35,77,88,90,87,88,20,20,20,20,Man Marking,,FRA,arsenal,,
Gabriel,DF,CB,BPD,,,A,C,37,52,91,71,78,63,42,31,64,89,88,90,89,20,20,20,20,Aerial Threat,Aggressive,BRA,arsenal,,
Timber,DF,WCB,IWB,R,natural,B,B,41,73,78,81,78,77,79,31,76,82,88,82,83,20,20,20,20,Interception,,NED,arsenal,,
Hincapie,DF,FB,WCB,L,unnatural,B,B,41,60,79,75,76,57,66,32,84,77,88,84,83,20,20,20,20,Track Back,,ECU,arsenal,,
Rice,MF,B2B,CDM,,,A,A,66,78,79,87,88,82,90,75,80,79,82,85,88,20,20,20,20,Engine,Leader,ENG,arsenal,,
Odegaard,MF,AP,CM,,,B,B,79,78,55,88,89,90,86,82,68,55,63,67,69,20,20,20,20,Playmaker,Ice Veins,NOR,arsenal,,
Zubimendi,MF,DLP,CM,,,B,B,69,79,72,86,84,82,73,56,66,67,81,80,84,20,20,20,20,,Tempo Dictator,ESP,arsenal,,
Saka,FW,IW,WM,R,proficient,B,B,82,86,49,88,81,86,90,74,83,74,74,60,62,20,20,20,20,Crossing Specialist,,ENG,arsenal,,
Gyokeres,FW,AF,Channel Forward,,,B,A,88,87,81,80,68,76,72,71,87,91,88,36,38,20,20,20,20,,,SWE,arsenal,,
Trossard,FW,IF,AF,L,natural,B,C,83,83,65,84,79,81,79,69,84,55,74,30,38,20,20,20,20,,Super Sub,BEL,arsenal,,
Kepa,GK,GK-S,,,,D,C,31,30,35,33,60,60,33,35,40,55,77,40,30,81,78,62,82,,Deflated,ESP,arsenal,,
White,DF,FB,IWB,R,unnatural,B,C,30,59,78,79,79,76,77,30,70,77,83,82,83,20,20,20,20,,,ENG,arsenal,,
Gabriel Jesus,FW,Channel Forward,CAM,,,B,D,79,81,76,84,73,78,73,54,81,65,85,39,32,20,20,20,20,,,BRA,arsenal,,
Eze,MF,IW,CAM,L,unnatural,B,C,80,80,56,87,82,85,78,77,74,68,70,50,57,20,20,20,20,Tight Ctrl,Clutch,ENG,arsenal,,
Merino,MF,B2B,SS,,,B,B,80,81,87,84,82,80,77,69,63,78,85,81,83,20,20,20,20,Aerial Threat,,ESP,arsenal,,
Havertz,FW,SS,CAM,,,B,B,80,84,81,85,80,81,75,53,72,75,85,48,43,20,20,20,20,,,GER,arsenal,,
Martinelli,FW,WG,WM,L,proficient,C,B,79,80,72,82,72,77,77,68,90,63,83,46,39,20,20,20,20,Rapid,Super Sub,BRA,arsenal,,
Madueke,FW,IF,WM,R,proficient,C,C,75,79,55,83,72,75,74,65,88,67,76,45,45,20,20,20,20,,,ENG,arsenal,,
Calafiori,DF,FB,BPD,L,proficient,B,C,64,74,79,78,75,69,78,65,75,78,86,80,80,20,20,20,20,,,ITA,arsenal,,
Nwaneri,MF,AP,,R,unnatural,B,C,71,73,42,77,72,75,78,60,82,51,58,50,52,20,20,20,20,,,ENG,arsenal,,
Lewis-Skelly,DF,FB,IWB,L,natural,B,C,55,72,72,77,77,76,73,45,74,79,84,76,76,20,20,20,20,,,ENG,arsenal,,
Mosquera,DF,CB,,,,B,B,39,38,77,67,72,58,44,38,74,74,85,78,77,20,20,20,20,,,ESP,arsenal,,
Nørgaard,MF,CDM,,,,B,B,63,66,69,76,80,70,68,65,49,78,72,79,84,20,20,20,20,,,DEN,arsenal,,
Dowman,FW,IF,CAM,R,unnatural,C,D,70,69,48,73,70,70,69,69,75,59,60,33,45,20,20,20,20,,,ENG,arsenal,,
