name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Oblak,GK,GK-S,,,,A,C,31,31,35,30,42,67,33,34,59,78,85,46,24,87,90,61,78,GK Cross Claim,,SVN,atletico,,
Marcos Llorente,MF,WB,B2B,R,natural,A,A,80,81,69,82,80,85,77,63,90,79,85,78,80,20,20,20,20,Rapid,,ESP,atletico,,
Le Normand,DF,CB,,,,B,C,32,31,84,74,78,48,35,35,65,86,86,84,83,20,20,20,20,,,ESP,atletico,,
Gimenez,DF,CB,,,,B,C,37,35,82,70,74,46,47,44,73,85,87,85,84,20,20,20,20,,Aggressive,URU,atletico,,
Ruggeri,DF,FB,WM,L,unnatural,B,D,61,75,65,76,71,65,76,50,78,69,77,72,70,20,20,20,20,,,ITA,atletico,,
Koke,MF,CM,DLP,,,B,B,69,76,61,81,82,83,85,77,61,75,72,76,80,20,20,20,20,,Leader,ESP,atletico,,
Giuliano,MF,IF,WM,R,comfortable,B,B,75,79,67,80,73,77,76,46,91,79,87,45,57,20,20,20,20,Rapid,,,atletico,,
Lookman,MF,IF,WM,L,comfortable,A,C,85,87,71,86,71,80,66,56,84,63,81,32,44,20,20,20,20,Clinical,,NGA,atletico,,
Griezmann,FW,Channel Forward,Poacher,,,A,C,85,86,78,90,84,86,82,85,76,70,84,59,62,20,20,20,20,Tight Ctrl,Leader,FRA,atletico,,
Julián Alvarez,FW,Channel Forward,Poacher,,,A,B,88,88,77,88,80,83,77,88,85,72,86,57,52,20,20,20,20,Dead Ball,Clutch,ARG,atletico,,
Musso,GK,GK-S,,,,A,C,38,39,35,30,31,48,30,33,44,70,79,44,38,82,78,74,73,,,ARG,atletico,,
Molina,DF,WB,FB,R,natural,C,B,67,77,58,76,72,76,78,51,82,64,74,75,77,20,20,20,20,,,ARG,atletico,,
Lenglet,DF,CB,,,,B,C,39,54,79,73,78,69,55,35,54,79,79,82,83,20,20,20,20,,,FRA,atletico,,
Hancko,DF,CB,WCB,L,natural,B,B,63,69,82,78,78,68,66,72,77,87,85,82,80,20,20,20,20,,,SVK,atletico,,
Pablo Barrios,MF,CDM,B2B,,,B,B,70,77,55,82,84,81,57,53,81,73,76,74,84,20,20,20,20,,,ESP,atletico,,
Gonzalez,MF,WM,WG,L,natural,A,C,78,81,,78,64,74,75,,84,,79,45,50,20,,,20,,,ARG,atletico,,
Álex Baena,MF,WM,CAM,L,proficient,B,B,77,82,58,84,85,84,85,80,79,60,71,65,69,20,20,20,20,Playmaker,,ESP,atletico,,
Sørloth,FW,TM,IF,L,unnatural,B,B,84,83,86,81,68,73,66,60,77,90,91,36,36,20,20,20,20,Aerial Threat,Stage Fright,NOR,atletico,,
Johnny,MF,CDM,CM,,,B,C,63,74,75,82,82,76,65,66,72,79,83,80,82,20,20,20,20,,,USA,atletico,,
Almada,MF,CAM,WM,L,comfortable,A,A,70,76,39,80,77,81,74,83,79,50,53,51,60,20,20,20,20,,,ARG,atletico,,
Pubill,DF,FB,WCB,R,unnatural,A,B,52,67,77,76,70,67,69,43,81,82,90,76,78,20,20,20,20,,,ESP,atletico,,
Nico González,MF,WM,WG,L,natural,C,C,75,79,80,78,74,74,75,54,85,58,83,45,39,20,20,20,20,,,ARG,atletico,,
Vargas,MF,CDM,CM,,,B,C,52,72,48,73,69,70,54,44,73,52,59,67,72,20,20,20,20,,,MEX,atletico,,
Mendoza,MF,B2B,WM,R,unnatural,B,C,65,70,48,74,71,73,68,67,68,65,61,65,67,20,20,20,20,,,ESP,atletico,,
