name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Martínez,GK,GK-S,,,,B,C,36,32,36,43,60,67,32,30,56,78,83,32,31,85,81,78,82,Penalty Stopper,,ARG,psg,,
Watkins,FW,CF,Channel Forward,,,C,B,84,85,84,78,70,77,67,63,77,76,89,53,55,20,20,20,20,Aerial Threat,Clutch,ENG,psg,,
Rogers,MF,CAM,WM,L,comfortable,B,B,81,83,64,86,82,85,75,69,77,79,79,64,68,20,20,20,20,Long Shot Specialist,,ENG,psg,,
Tielemans,MF,DLP,CM,,,B,B,77,77,70,86,88,87,80,78,53,69,68,75,75,20,20,20,20,Playmaker,,BEL,psg,,
Kamara,MF,CDM,B2B,,,B,B,47,62,72,83,84,79,67,47,64,79,78,82,85,20,20,20,20,Block,,FRA,psg,,
Konsa,DF,CB,WCB,,,C,B,55,50,81,78,76,75,65,38,75,80,87,85,84,20,20,20,20,Interception,,ENG,psg,,
Digne,DF,WB,,L,unnatural,C,B,60,73,73,77,76,75,86,83,69,69,77,77,77,20,20,20,20,Crossing Specialist,,FRA,psg,,
Pau Torres,DF,BPD,CB,,,C,C,31,66,85,79,80,77,64,54,66,73,84,82,81,20,20,20,20,,,ESP,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,," ,",,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
