name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,
Garcia Joan,GK,GK-SK,,,,B,B,36,36,32,38,49,54,33,32,46,59,85,46,33,88,85,67,80,GK Parry,,ESP,barcelona,,
Kounde,DF,CB,FB,R,unnatural,A,B,47,69,80,81,78,70,76,36,84,84,91,84,84,20,20,20,20,Track Back,,FRA,barcelona,,
Araujo,DF,CB,FB,R,unnatural,B,C,58,57,81,66,70,59,56,45,79,87,91,79,78,20,20,20,20,,Hot Head,URU,barcelona,,
Eric Garcia,DF,BPD,FB,R,proficient,B,D,60,69,79,82,83,75,67,31,79,79,87,83,85,20,20,20,20,,,ESP,barcelona,,
Balde,DF,WB,WM,L,unnatural,B,C,51,65,71,81,77,72,82,38,91,69,84,78,78,20,20,20,20,,,ESP,barcelona,,
Pedri,MF,CM,DLP,,,A,A,77,83,50,91,90,91,76,62,77,73,72,78,86,20,20,20,20,Tight Ctrl,Tempo Dictator,ESP,barcelona,,
De Jong,MF,DLP,CM,,,A,B,75,78,73,88,89,88,78,64,82,73,82,78,82,20,20,20,20,Press-Resistant,,NED,barcelona,,
Fermin,MF,CAM,IF,L,unnatural,C,C,81,87,76,85,80,84,70,69,77,59,78,72,68,20,20,20,20,,,ESP,barcelona,,
Yamal,FW,IW,WM,R,proficient,A,C,84,88,33,90,86,88,89,69,86,69,64,33,38,20,20,20,20,Trickster,Clutch,ESP,barcelona,,
Lewandowski,FW,CF,,,,A,C,90,88,87,86,77,81,76,81,71,86,89,44,49,20,20,20,20,Pchr,Clutch,POL,barcelona,,
Raphinha,FW,IF,Channel Forward,L,comfortable,A,A,87,89,74,88,83,86,86,84,90,67,82,53,56,20,20,20,20,Rapid,Leader,BRA,barcelona,,
Szczesny,GK,GK-S,,,,B,C,32,34,35,32,58,49,32,33,47,68,80,48,35,82,82,83,74,,,POL,barcelona,,
João Cancelo,DF,IWB,WM,R,natural,B,B,69,81,72,86,83,85,86,69,83,65,82,78,79,20,20,20,20,Playmaker,,POR,barcelona,,
Christensen,DF,BPD,CDM,,,B,C,36,32,78,77,80,62,51,39,64,76,78,81,82,20,20,20,20,,,DEN,barcelona,,
Dani Olmo,MF,CAM,CM,,,B,D,80,83,43,86,83,85,76,72,74,56,62,50,57,20,20,20,20,Tight Ctrl,Clutch,ESP,barcelona,,
Gavi,MF,CM,AP,,,B,B,71,81,42,85,83,83,69,47,76,58,62,68,79,20,20,20,20,Track Back,,ESP,barcelona,,
Ferran Torres,FW,Poacher,IF,L,natural,B,C,86,86,82,84,79,79,78,60,84,76,91,35,36,20,20,20,20,Clinical,Stage Fright,ESP,barcelona,,
Gerard Martín,DF,FB,BPD,L,unnatural,C,D,44,66,70,73,75,69,75,59,77,82,81,73,74,20,20,20,20,,,ESP,barcelona,,
Rashford,FW,IF,AF,L,proficient,C,D,81,82,71,80,75,80,79,79,87,71,85,33,37,20,20,20,20,Dead Ball,,ENG,barcelona,,
Cubarsí,DF,BPD,CB,,,B,D,41,54,83,82,85,75,31,33,73,79,87,83,83,20,20,20,20,Man Marking,,ESP,barcelona,,
Marc Bernal,MF,DLP,CB,,,C,D,67,67,52,77,76,72,63,54,68,75,68,69,72,20,20,20,20,,,ESP,barcelona,,
Marc Casadó,MF,DLP,CDM,,,C,C,64,69,62,82,80,77,53,53,62,55,65,75,76,20,20,20,20,,,ESP,barcelona,,
Bardghji,FW,IF,WM,R,unnatural,C,C,74,71,34,76,62,73,71,63,74,55,52,35,33,20,,,20,,Clutch,SWE,barcelona,,
