name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Neuer,GK,GK-SK,,,,A,C,33,32,35,44,64,68,35,31,32,80,71,31,30,83,80,96,90,GK Sweeper,Leader,GER,bayernmunich,,
Stanišić,DF,WCB,FB,R,comfortable,B,C,44,53,77,73,67,58,72,33,73,76,82,79,78,20,20,20,20,,,CRO,bayernmunich,,
Kim Min-jae,DF,CB,,,,B,B,33,48,80,67,72,57,35,33,73,85,82,83,88,20,20,20,20,,,KOR,bayernmunich,,
Upamecano,DF,CB,BPD,,,C,C,39,47,83,79,78,58,48,38,77,87,85,84,87,20,20,20,20,,Aggressive,FRA,bayernmunich,,
Davies,DF,WB,WM,L,unnatural,C,B,64,77,74,85,78,77,85,44,94,75,95,74,79,20,20,20,20,Rapid,,CAN,bayernmunich,,
Pavlovic,MF,DLP,CM,,,B,C,66,65,81,84,86,81,75,38,63,83,79,76,78,20,20,20,20,Press-Resistant,,GER,bayernmunich,,
Kimmich,MF,DLP,FB,R,unnatural,A,A,68,74,72,86,90,86,92,79,72,69,77,83,85,20,20,20,20,Engine,Leader,GER,bayernmunich,,
Karl,MF,AP,SS,,,C,D,72,70,47,79,78,74,69,54,71,34,52,40,34,20,20,20,20,,,GER,bayernmunich,,
Olise,FW,IW,AP,R,unnatural,B,B,85,86,36,89,85,88,84,81,79,62,64,34,55,20,20,20,20,Tight Ctrl,,FRA,bayernmunich,,
Kane,FW,Poacher,CF,,,A,C,96,95,90,87,84,86,80,69,64,87,87,48,42,20,20,20,20,Clinical,Clutch,ENG,bayernmunich,,
Díaz,FW,IF,Channel Forward,L,unnatural,B,B,81,84,71,87,81,81,84,58,87,69,82,45,38,20,20,20,20,Tight Ctrl,,COL,bayernmunich,,
Ulreich,GK,GK-S,,,,B,C,32,38,38,32,32,42,34,35,40,63,60,41,34,74,69,91,62,,,GER,bayernmunich,,
Ito,DF,CB,FB,L,unnatural,B,D,48,56,74,77,79,66,68,45,74,77,84,80,81,20,20,20,20,,,JPN,bayernmunich,,
Guerreiro,DF,IWB,WM,L,comfortable,B,C,76,79,42,67,82,83,84,78,69,49,49,74,80,20,20,20,20,Interception,,POR,bayernmunich,,
Laimer,DF,FB,CDM,R,comfortable,B,B,69,73,67,75,80,76,76,47,82,69,78,81,80,20,20,20,20,,,AUT,bayernmunich,,
Tah,DF,CB,BPD,,,B,C,32,36,87,70,73,57,39,37,63,91,85,87,84,20,20,20,20,Man Marking,,GER,bayernmunich,,
Gnabry,FW,IF,WM,L,natural,C,D,84,84,42,83,79,82,78,62,79,68,68,43,38,20,20,20,20,Tight Ctrl,Clutch,GER,bayernmunich,,
Goretzka,MF,B2B,CDM,,,B,C,76,84,84,80,82,77,74,69,75,84,82,80,84,20,20,20,20,,Aggressive,GER,bayernmunich,,
Bischof,MF,B2B,DLP,,,B,B,66,65,45,82,81,79,78,77,59,63,60,64,69,20,20,20,20,,,GER,bayernmunich,,
Boey,DF,FB,,R,unnatural,C,C,44,68,,75,70,58,69,,71,,79,76,79,20,,,20,,,FRA,bayernmunich,,
Musiala,MF,CAM,IF,L,proficient,B,C,86,88,75,90,83,84,70,59,80,61,80,68,65,20,20,20,20,Tight Ctrl,Clutch,GER,bayernmunich,,
Jackson,FW,Channel Forward,,,,C,B,81,83,76,79,70,73,62,62,82,77,89,40,40,20,20,20,20,,Hot Head,SEN,bayernmunich,,
Maycon,FW,IW,WM,R,proficient,C,D,52,44,48,64,52,56,60,51,67,44,44,38,30,20,20,20,20,,,BRA,bayernmunich,,
Urbig,GK,GK-SK,,,,B,C,35,38,33,30,54,45,30,32,32,51,54,32,34,79,75,61,84,,,GER,bayernmunich,,
