name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Sanchez,GK,GK-S,,,,C,C,32,32,35,45,51,55,33,33,50,77,82,59,35,80,79,74,78,GK Cross Claim,,ESP,chelsea,,
Reece James,DF,WB,DLP,R,proficient,B,D,67,74,77,82,83,78,88,83,76,87,88,83,85,20,20,20,20,Crossing Specialist,Leader,ENG,chelsea,,
Colwill,DF,BPD,CB,,,B,C,38,50,79,77,76,73,65,36,70,79,84,81,81,20,20,20,20,,,ENG,chelsea,,
Cucurella,DF,WB,FB,L,unnatural,B,A,61,71,73,80,80,77,81,63,78,70,86,84,83,20,20,20,20,Track Back,,ESP,chelsea,,
Chalobah,DF,CB,FB,R,unnatural,B,D,46,50,81,74,76,67,62,44,66,83,84,81,82,20,20,20,20,,,,chelsea,,
Caicedo,MF,CM,CDM,,,A,A,59,68,70,83,85,80,65,55,71,77,80,84,88,20,20,20,20,Interception,,ECU,chelsea,,
Lavia,MF,CDM,B2B,,,B,D,43,60,70,80,79,80,62,50,69,77,80,77,78,20,20,20,20,,,BEL,chelsea,,
Fernández,MF,CM,CAM,,,B,B,76,81,71,86,89,86,79,76,68,67,74,73,74,20,20,20,20,Long Pass,,ARG,chelsea,,
Palmer,MF,CAM,IW,R,unnatural,A,B,82,85,60,88,86,88,85,81,76,60,71,50,50,20,20,20,20,Playmaker,Ice Veins,ENG,chelsea,,
João Pedro,FW,Channel Forward,CAM,,,B,C,83,84,81,84,75,77,66,54,80,75,89,37,38,20,20,20,20,,,BRA,chelsea,,
Pedro Neto,FW,WG,SS,R,natural,C,C,77,79,50,82,73,80,80,72,91,65,74,40,40,20,20,20,20,Rapid,,POR,chelsea,,
Jörgensen,GK,GK-S,,,,B,D,31,30,32,40,46,50,30,31,45,62,77,45,33,77,76,73,72,,,DEN,chelsea,,
Gusto,DF,WB,WM,R,proficient,B,B,30,75,53,77,75,74,79,50,84,68,74,73,76,20,20,20,20,,,FRA,chelsea,,
Badiashile,DF,CB,,,,C,C,40,40,75,68,72,65,45,45,60,83,71,76,76,20,20,20,20,,Aggressive,FRA,chelsea,,
Andrey Santos,MF,DLP,CM,,,B,A,69,77,81,80,80,79,56,52,74,75,88,77,78,20,20,20,20,,,BRA,chelsea,,
Disasi,DF,CB,FB,R,unnatural,C,D,43,47,80,66,69,55,48,30,56,88,83,77,76,20,20,20,20,,,FRA,chelsea,,
Delap,FW,TM,,,,C,C,80,79,73,78,58,59,55,52,79,84,88,30,32,20,20,20,20,,Hot Head,ENG,chelsea,,
Garnacho,FW,IF,WM,L,comfortable,C,C,77,78,44,77,70,73,75,61,86,42,67,37,40,20,20,20,20,,Super Sub,ARG,chelsea,,
Hato,MF,WCB,FB,L,unnatural,B,C,39,61,69,78,76,67,66,31,85,73,91,75,77,20,20,20,20,,,NED,chelsea,,
Gittens,FW,WG,WM,L,proficient,C,B,75,77,42,80,64,64,69,44,92,54,64,37,39,20,20,20,20,,,ENG,chelsea,,
Tosin,DF,CB,,,,B,C,40,35,76,75,75,60,43,33,70,84,84,78,77,20,20,20,20,,,ENG,chelsea,,
Fofana,DF,CB,,,,C,D,38,40,63,72,72,60,42,56,77,73,82,80,81,20,20,20,20,,,FRA,chelsea,,
Estêvão,FW,IF,WM,R,proficient,B,D,74,75,52,81,72,75,77,71,90,49,66,33,34,20,20,20,20,Rapid,,BRA,chelsea,,
Mamadou Sarr,DF,CB,,,,C,C,31,39,74,65,66,56,36,30,67,82,80,77,77,20,20,20,20,,,SEN,chelsea,,
Acheampong,DF,CB,FB,R,unnatural,C,D,44,60,71,70,68,65,65,46,76,76,84,72,72,20,20,20,20,,,ENG,chelsea,,
Marc Guiu,FW,AF,,,,C,D,73,70,70,70,55,55,45,45,76,76,81,36,31,20,20,20,20,,,ESP,chelsea,,
Dário Essugo,MF,CDM,B2B,,,C,C,49,72,62,71,72,70,46,70,76,83,80,74,75,20,20,20,20,,Aggressive,POR,chelsea,,
