name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Kobel,GK,GK-S,,,,A,C,30,30,33,34,36,59,33,32,35,81,71,33,34,86,83,64,64,GK Parry,,SUI,dortmund,,
Süle,DF,BPD,FB,R,unnatural,B,D,36,42,75,72,77,66,54,40,57,92,72,79,79,20,20,20,20,,Aggressive,GER,dortmund,,
Anton,DF,CB,BPD,,,B,B,42,54,79,70,76,70,52,39,69,86,85,84,82,20,20,20,20,Block,,GER,dortmund,,
Bensebaini,DF,WCB,WB,L,unnatural,A,B,72,66,84,82,72,63,73,62,73,77,88,78,74,20,20,20,20,Interception,Aggressive,ALG,dortmund,,
Jobe Bellingham,MF,CM,CDM,,,C,B,69,70,74,77,78,74,64,59,70,77,88,79,86,20,20,20,20,,,ENG,dortmund,,
Can,DF,CB,CDM,,,A,C,71,70,82,75,76,69,63,64,70,85,80,82,78,20,20,20,20,Interception,Aggressive,GER,dortmund,,
Brandt,MF,CAM,AP,,,B,B,76,82,54,85,84,86,78,78,74,72,69,44,56,20,20,20,20,,,GER,dortmund,,
Svensson,MF,WM,DLP,L,unnatural,C,A,56,71,64,77,78,75,75,63,77,68,76,74,72,20,20,20,20,,,SWE,dortmund,,
Guirassy,FW,Poacher,TM,,,B,B,86,88,86,85,78,79,65,67,72,85,90,45,33,20,20,20,20,Aerial Threat,Stage Fright,GIN,dortmund,,
Adeyemi,FW,IF,WG,L,natural,B,C,81,82,75,80,72,74,73,62,96,67,93,36,31,20,20,20,20,Rapid,,GER,dortmund,,
Meyer,GK,GK-SK,,,,C,C,38,37,31,39,30,36,33,30,42,79,68,41,38,75,71,83,79,,,GER,dortmund,,
Ryerson,MF,WM,WB,R,natural,B,B,62,63,67,76,73,63,85,54,75,80,75,77,74,20,20,20,20,,Aggressive,NOR,dortmund,,
Schlotterbeck,DF,WCB,BPD,R,natural,A,C,51,58,86,72,84,72,70,55,74,87,92,86,84,20,20,20,20,Block,,GER,dortmund,,
Yan Couto,DF,WB,WM,L,natural,C,C,63,75,44,87,79,75,82,43,77,51,54,70,74,20,20,20,20,,,BRA,dortmund,,
Nmecha,MF,B2B,DLP,,,B,C,75,78,83,85,85,78,64,55,82,90,93,82,82,20,20,20,20,Aerial Threat,Aggressive,GER,dortmund,,
Chukwuemeka,MF,CAM,CM,,,C,D,70,74,59,82,77,77,72,52,75,76,69,57,58,20,20,20,20,,,AUT,dortmund,,
Fábio Silva,FW,Poacher,IF,L,natural,C,B,77,81,80,83,74,74,45,46,81,74,87,32,32,20,20,20,20,,,POR,dortmund,,
Beier,FW,IF,AF,L,natural,D,B,83,83,74,82,69,72,67,51,86,53,77,43,43,20,20,20,20,,Clutch,GER,dortmund,,
Sabitzer,MF,B2B,CAM,,,C,C,76,78,62,82,81,79,77,78,75,75,71,76,82,20,20,20,20,,,AUS,dortmund,,
Özcan,MF,CDM,B2B,L,natural,C,C,59,64,71,71,72,66,62,53,70,78,84,75,78,20,20,20,20,,Aggressive,TUR,dortmund,,
Reggiani,DF,CB,WCB,L,natural,C,D,30,31,64,58,52,31,44,30,62,65,67,64,59,20,20,20,20,,,ITA,dortmund,,
Inácio,FW,SS,CAM,,,C,D,61,54,31,66,64,60,64,39,70,39,43,33,39,20,20,20,20,,,ITA,dortmund,,
Mané,DF,CB,,,,D,D,32,32,64,60,59,39,31,30,67,69,71,65,66,20,20,20,20,,,ITA,dortmund,,
Drewes,GK,GK-SK,,,,B,C,33,34,35,38,36,39,35,34,30,77,65,36,31,71,70,62,67,,,GER,dortmund,,
Kabar,DF,FB,WM,L,unnatural,C,D,39,54,56,61,62,49,66,50,77,75,77,58,58,20,20,20,20,,,GER,dortmund,,
