name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Osimhen,FW,Poacher,Channel Forward,,,B,D,88,90,89,80,62,70,62,52,90,90,95,52,48,20,20,20,20,Aerial Threat,Clutch,NGA,psg,,
Gündoğan,MF,CAM,DLP,,,B,D,77,76,47,82,84,81,77,80,53,58,54,68,76,20,20,20,20,Press-Resistant,Tempo Dictator,GER,psg,,
Torreira,MF,CM,CDM,,,A,A,70,74,65,79,81,78,72,70,74,65,75,78,83,20,20,20,20,Interception,,URU,psg,,
Sánchez,DF,WCB,FB,R,unnatural,C,B,59,66,80,75,76,71,36,27,82,88,93,81,82,20,20,20,20,,Aggressive,COL,psg,,
Sané,FW,IF,Half Winger,,,D,C,80,81,58,84,76,81,78,80,86,60,67,34,30,20,20,20,20,Rapid,Clutch,GER,psg,,
Icardi,FW,AP,Poacher,,,D,C,86,84,88,78,74,78,47,52,54,68,77,43,29,20,20,20,20,,Clutch,ARG,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,," ,",,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
