name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
David,FW,AF,IF,L,proficient,B,A,84,88,77,81,73,74,67,58,81,77,87,37,33,20,20,20,20,Rapid,,CAN,juv,,
Openda,FW,AF,IF,L,proficient,C,B,84,83,79,80,67,69,69,53,95,79,93,35,26,20,20,20,20,Rapid,,BEL,juv,,
Jérémie Boga,FW,IF,CAM,L,unnatural,C,C,65,71,59,80,72,69,71,69,84,64,76,41,41,20,20,20,20,,,CIV,juv,,
Milik,FW,AF,TM,,,C,C,81,83,82,83,70,78,63,81,50,76,79,44,36,20,20,20,20,,,POL,juv,,
Vlahović,FW,Poacher,TM,,,B,C,82,86,81,79,68,70,57,89,77,87,92,35,24,20,20,20,20,Dead Ball,Clutch,SRB,juv,,
Cerri,FW,AF,,,,C,B,70,73,81,66,50,51,41,40,43,83,82,37,30,20,20,20,20,,,ITA,juv,,
Yıldız,MF,CAM,WG,L,natural,B,B,79,79,72,86,74,80,76,70,85,67,82,46,39,20,20,20,20,Tight Control,Ice Veins,TUR,juv,,
Koopmeiners,MF,DLP,CM,,,B,C,76,80,72,82,85,84,79,80,71,71,79,74,78,20,20,20,20,,,NED,juv,,
Francisco Conceição,FW,WG,AP,R,comfort,B,B,74,76,40,83,75,74,74,58,88,40,55,37,31,20,20,20,20,Rapid,,POR,juv,,
Adžić,MF,CAM,CM,,,C,C,68,65,42,73,68,66,58,61,67,55,52,40,40,20,20,20,20,,,MNE,juv,,
Cambiaso,DF,WB,WM,L,natural,C,C,68,78,62,82,78,79,82,60,80,68,76,74,74,20,20,20,20,,,ITA,juv,,
Kostić,MF,WM,WG,L,unnatural,C,C,71,78,68,81,80,78,84,30,81,70,78,69,69,20,20,20,20,,,SRB,juv,,
Thuram,MF,B2B,,,,B,A,77,78,76,83,82,78,72,56,79,82,89,79,81,20,20,20,20,Engine,,FRA,juv,,
Locatelli,MF,CDM,CM,,,A,A,60,70,68,81,85,82,73,66,64,73,73,79,81,20,20,20,20,Interception,Tempo Dictate,ITA,juv,,
Miretti,MF,CM,WM,L,unnatural,C,B,60,68,59,78,77,76,74,69,75,69,67,65,69,20,20,20,20,,,ITA,juv,,
McKennie,MF,B2B,WM,R,unnatural,C,C,68,78,86,78,78,76,78,63,77,77,92,80,78,20,20,20,20,Aerial Threat,,USA,juv,,
Holm,DF,WB,WM,R,natural,C,A,57,71,65,74,67,63,74,40,83,82,84,67,67,20,20,20,20,,Aggressive,SWE,juv,,
Zhegrova,FW,IF,WM,R,natural,D,B,69,75,36,82,73,77,78,74,85,63,66,25,20,20,20,20,20,Trickster,Clutch,KVX,juv,,
Kelly,DF,CB,FB,L,unnatural,C,C,37,63,78,75,73,64,66,44,69,80,85,77,73,20,20,20,20,,,ENG,juv,,
Kalulu,DF,CB,FB,R,,B,A,43,60,75,74,71,59,70,44,80,75,84,80,82,20,20,20,20,,,FRA,juv,,
Bremer,DF,CB,WCB,,,A,B,49,58,87,70,73,50,51,36,82,85,93,86,83,20,20,20,20,Aerial Threat,Aggressive,BRA,juv,,
Gatti,DF,CB,,,,B,C,30,45,80,68,65,40,38,46,76,81,88,80,79,20,20,20,20,,Aggressive,ITA,juv,,
Cabal,DF,FB,CB,L,unnatural,C,B,37,46,73,70,75,62,70,39,73,74,82,75,72,20,20,20,20,,,COL,juv,,
Perin,GK,GK-S,,,,C,C,32,31,32,33,32,45,31,33,57,52,63,32,39,78,78,78,71,,,ITA,juv,,
Pinsoglio,GK,GK-S,,,,C,C,31,31,33,32,26,35,33,38,42,60,60,31,38,70,70,61,62,,,ITA,juv,,
Di Gregorio,GK,GK-S,,,,B,C,29,29,31,35,50,65,33,34,56,68,69,32,35,85,78,67,79,GK Parry,,ITA,juv,,
