name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Pickford,GK,GK-S,,,,,,39,38,38,42,60,69,37,36,52,72,84,39,26,87,80,76,88,,,ENG,,,
Ndiaye,FW,WG,AP,R,natural,,C,79,80,59,84,70,78,75,55,86,66,76,45,49,20,20,20,20,Trickster,,SEN,,,
Grealish,FW,IW,AP,L,unnatural,,D,76,78,48,86,81,85,81,74,72,67,67,51,49,20,20,20,20,Tight Ctrl,,ENG,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xhaka,MF,CDM,CM,,,,B,67,76,72,82,90,85,77,78,46,78,70,77,77,20,20,20,20,Long Pass,Leader,SUI,,,
Bowen,FW,Poacher,IF,R,proficient,,B,84,83,82,82,76,79,80,70,76,66,84,49,37,20,20,20,20,Tight Ctrl,,ENG,,,
Tanaka,MF,B2B,DLP,,,,B,66,64,62,78,80,77,61,65,70,65,71,71,76,20,20,20,20,,,JPN,,,
Hee-chan Hwang,FW,AF,IF,R,natural,,C,76,76,68,73,69,75,68,52,80,68,80,41,37,20,20,20,20,,,KOR,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endrick,FW,Poacher,IF,R,unnatural,,C,78,76,70,79,64,72,52,71,87,74,84,35,20,20,20,20,20,,,BRA,,,
Neymar,FW,IW,Half Winger,L,unnatural,,D,80,78,63,91,84,84,84,87,76,47,67,39,37,20,20,20,20,Trickster,,BRA,,,
Lucas Paquetá,MF,AP,WM,L,proficient,,C,78,77,68,85,79,79,74,74,68,73,75,68,71,20,20,20,20,Trickster,,BRA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Paz,FW,SS,AP,,,,C,78,78,48,87,82,80,71,72,79,68,69,53,61,20,20,20,20,Tight Ctrl,,ARG,,,
Svilar,GK,GK-SK,,,,,C,14,9,22,28,42,53,18,22,58,61,81,18,13,86,81,82,77,,,SRB,,,
Dybala,FW,False 9,SS,,,,C,85,78,65,88,83,87,80,87,80,63,76,44,41,20,20,20,20,Tight Ctrl,Clutch,ARG,,,
Mancini,DF,CB,WCB,,,,B,48,36,85,79,74,56,34,34,70,79,86,84,85,20,20,20,20,Aerial Threat,Aggressive,ITA,,,
Éderson,MF,CM,,,,,A,72,74,65,84,83,80,70,50,78,77,80,77,81,20,20,20,20,Engine,,BRA,,,
Ketelaere,FW,False 9,Half Winger,,,,C,78,82,75,87,82,83,76,72,72,69,79,58,56,20,20,20,20,,,BEL,,,
Carnesecchi,GK,GK-S,,,,,C,8,9,20,21,34,54,11,12,32,55,86,16,13,86,84,66,74,GK Cross Claim,,ITA,,,
