name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Palacios,MF,CDM,CM,,,C,D,74,79,67,84,84,83,70,54,62,67,74,79,86,20,20,20,20,,,ARG,psg,,
Schick,FW,TM,Poacher,,,B,D,86,87,88,83,71,75,64,56,72,85,91,41,25,20,20,20,20,,,CZE,psg,,
Grimaldo,MF,WM,WB,L,unnatural,B,A,73,78,62,86,86,85,91,92,72,53,68,72,79,20,20,20,20,Dead Ball,,ESP,psg,,
Quansah,DF,CB,,,,B,D,26,45,78,75,74,61,38,37,74,82,87,75,73,20,20,20,20,,,ENG,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,," ,",,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
