name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Alisson,GK,GK-SK,,,,B,C,33,33,34,43,66,66,47,49,58,58,86,56,31,87,87,83,83,GK 1-on-1,,BRA,liverpool,,
Van Dijk,DF,CB,BPD,,,A,C,52,47,88,77,82,70,53,70,72,92,89,89,88,20,20,20,20,Aerial Threat,Leader,NED,liverpool,,
Konate,DF,CB,BPD,,,C,C,39,44,83,75,77,64,38,31,77,91,83,86,83,20,20,20,20,,Aggressive,FRA,liverpool,,
Frimpong,DF,WB,IF,R,unnatural,C,B,66,82,54,84,72,73,83,47,94,47,68,72,77,20,20,20,20,Rapid,,NED,liverpool,,
Kerkez,DF,WB,WM,L,unnatural,B,A,53,76,60,76,73,76,80,52,87,75,74,77,78,20,20,20,20,,,HUN,liverpool,,
Wirtz,MF,CAM,SS,,,B,B,82,84,43,89,87,89,87,74,81,59,65,54,55,20,20,20,20,Tight Ctrl,,GER,liverpool,,
Mac Allister,MF,B2B,DLP,,,B,B,79,78,65,86,87,86,79,82,66,69,72,78,79,20,20,20,20,Playmaker,,ARG,liverpool,,
Szoboszlai,MF,CAM,CM,,,A,A,79,84,65,86,85,86,85,88,81,69,76,72,74,20,20,20,20,Dead Ball,Ice Veins,HUN,liverpool,,
Salah,FW,IF,,R,unnatural,B,B,88,88,59,87,83,88,86,69,87,75,79,45,55,20,20,20,20,Pchr,Ice Veins,EGY,liverpool,,
Ekitiké,FW,Channel Forward,,,,B,B,86,86,79,86,71,79,51,51,86,70,85,33,33,20,20,20,20,Tight Ctrl,,FRA,liverpool,,
Gakpo,FW,IF,WG,L,unnatural,B,B,81,82,81,85,78,81,83,76,84,75,90,47,45,20,20,20,20,,Clutch,NED,liverpool,,
Mamardashvili,GK,GK-S,,,,B,C,39,38,34,32,40,34,33,30,40,74,82,48,38,83,81,73,72,GK Cross Claim,,GEO,liverpool,,
Robertson,DF,WB,,L,unnatural,B,B,55,76,70,79,78,79,86,71,74,67,76,79,80,20,20,20,20,Crossing Specialist,,SCO,liverpool,,
Gomez,DF,CB,FB,R,natural,B,C,30,56,76,75,76,65,73,30,74,78,85,79,79,20,20,20,20,,,ENG,liverpool,,
Gravenberch,MF,CDM,DLP,,,B,B,78,75,67,87,84,81,74,70,76,80,81,81,88,20,20,20,20,Interception,,NED,liverpool,,
Bradley,DF,FB,WM,R,unnatural,B,B,62,74,65,77,70,69,77,34,82,65,77,75,75,20,20,20,20,,,NIR,liverpool,,
Chiesa,FW,IF,AF,R,natural,B,C,80,81,53,81,76,77,75,62,87,67,74,44,46,20,20,20,20,,Super Sub,ITA,liverpool,,
Isak,FW,Poacher,Channel Forward,,,B,B,87,89,82,82,64,80,68,64,83,79,90,38,38,20,20,20,20,Clinical,Clutch,SWE,liverpool,,
Jones,DF,CAM,B2B,,,B,B,75,79,55,82,81,79,67,51,74,69,71,72,71,20,20,20,20,,,ENG,liverpool,,
Endo,MF,CDM,CB,,,A,C,67,68,79,78,78,75,58,49,58,67,85,79,78,20,20,20,20,Engine,,JPN,liverpool,,
Ngumoha,MF,WG,IF,L,proficient,B,C,65,65,38,72,53,68,68,52,90,54,61,35,36,20,20,20,20,Rapid,,ENG,liverpool,,
Stefan Bajčetić,MF,CDM,B2B,,,C,C,50,52,54,74,72,70,55,49,73,68,66,71,74,20,20,20,20,,,ESP,liverpool,,
Nyoni,MF,B2B,,,,C,C,55,62,53,69,67,65,51,42,67,49,54,52,55,20,20,20,20,,,ENG,liverpool,,
Woodman,GK,GK-S,,,,B,C,36,32,30,33,62,45,34,33,47,46,72,47,36,71,69,64,62,,,ENG,liverpool,,
