name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Donnarumma,GK,GK-S,,,,B,C,32,34,32,30,35,60,32,34,52,75,90,52,36,90,83,58,72,GK Parry,,ITA,mancity,,
Matheus Nunes,DF,IWB,DLP,R,unnatural,C,B,69,75,66,80,80,78,77,58,85,74,80,76,80,20,20,20,20,,,POR,mancity,,
Dias,DF,BPD,CB,,,A,C,29,39,85,75,80,64,54,48,59,89,84,86,87,20,20,20,20,Block,Aggressive,POR,mancity,,
Guéhi,DF,BPD,WCB,,,A,C,42,35,82,77,79,66,58,32,71,80,92,84,85,20,20,20,20,,,ENG,mancity,,
O'Reilly,DF,IWB,B2B,L,unnatural,B,C,67,73,78,77,77,77,79,59,83,78,88,77,77,20,20,20,20,,,ENG,mancity,,
Rodri,MF,CDM,CM,,,A,A,74,76,80,90,92,84,76,64,65,83,83,86,84,20,20,20,20,Press-Resistant,Tempo Dictator,ESP,mancity,,
Bernardo,MF,CM,IW,L,proficient,A,A,78,80,52,88,84,85,82,67,61,47,58,71,73,20,20,20,20,Tight Ctrl,,POR,mancity,,
Reijnders,MF,CM,CAM,,,B,A,78,86,61,88,86,84,73,70,79,69,77,77,80,20,20,20,20,Playmaker,,NED,mancity,,
Doku,FW,IF,WM,L,natural,B,D,72,81,40,84,74,82,81,55,92,76,75,32,30,20,20,20,20,Rapid,,BEL,mancity,,
Haaland,FW,Poacher,,,,B,C,94,95,85,82,71,74,58,62,86,93,92,45,43,20,20,20,20,Clinical,Clutch,NOR,mancity,,
Foden,FW,IW,AP,R,natural,B,B,82,83,47,89,82,83,80,74,82,41,59,57,59,20,20,20,20,Tight Ctrl,Clutch,ENG,mancity,,
Trafford,GK,GK-S,,,,B,C,38,34,36,33,54,60,37,32,53,55,77,53,30,78,75,69,76,,,ENG,mancity,,
Stones,DF,BPD,CDM,,,B,D,54,58,84,79,81,78,63,37,64,78,85,84,83,20,20,20,20,Long Throw,,ENG,mancity,,
Ake,DF,CB,FB,L,unnatural,C,D,48,51,80,79,77,68,63,59,72,76,86,84,83,20,20,20,20,,,NED,mancity,,
Kovacic,MF,DLP,CM,,,C,C,68,76,42,85,85,82,73,70,67,68,62,73,77,20,20,20,20,,,CRO,mancity,,
Aït-Nouri,DF,WB,WM,L,unnatural,B,B,50,75,66,84,75,75,80,58,84,65,78,77,78,20,20,20,20,,,ALG,mancity,,
Marmoush,FW,IF,SS,L,unnatural,A,C,85,85,69,85,72,78,70,84,89,67,80,34,34,20,20,20,20,,,EGY,mancity,,
Semenyo,FW,IF,WM,R,natural,B,B,86,86,64,83,72,76,79,70,81,79,81,40,34,20,20,20,20,Clinical,,,mancity,,
Rico Lewis,DF,IWB,B2B,R,comfortable,C,C,53,71,58,78,77,76,76,42,77,47,64,73,75,20,20,20,20,,,ENG,mancity,,
Gvardiol,DF,WCB,WB,L,unnatural,B,B,68,70,84,81,79,70,73,59,79,82,91,85,85,20,20,20,20,Block,,CRO,mancity,,
Savinho,FW,WG,WM,R,natural,C,C,74,78,45,85,76,82,83,55,87,45,62,30,35,20,20,20,20,,,BRA,mancity,,
Cherki,MF,AP,IW,R,comfortable,C,D,77,79,38,88,80,86,82,73,75,67,60,33,36,20,20,20,20,Trickster,,FRA,mancity,,
Khusanov,DF,CB,,,,C,D,34,44,75,69,70,58,47,40,90,82,91,79,81,20,20,20,20,,,UZB,mancity,,
Nico González,MF,CDM,,,,B,B,70,72,80,81,81,79,70,54,67,58,77,74,73,20,20,20,20,,,ESP,mancity,,
