name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Messi,FW,False 9,IF,R,unnatural,A,C,84,86,60,93,84,86,80,93,76,68,69,36,40,20,20,20,20,Tight Ctrl,Ice Veins,ARG,mia,,
De Paul,MF,AP,WM,R,unnatural,B,B,74,79,58,85,84,85,78,76,75,79,76,73,79,20,20,20,20,Long Pass,Aggressive,ARG,mia,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,," ,",,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
