name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Lammens,GK,GK-S,GK-SK,,,B,C,26,20,34,39,40,30,34,31,41,79,80,31,35,81,83,64,77,GK Cross Claim,,BEL,manutd,,
Dalot,DF,FB,IWB,R,proficient,B,B,53,75,71,76,75,75,75,52,85,74,85,76,78,20,20,20,20,,,POR,manutd,,
Maguire,DF,CB,,,,C,C,48,61,86,71,80,69,51,46,35,89,80,80,82,20,20,20,20,Aerial Threat,,ENG,manutd,,
Lisandro Martínez,DF,BPD,CB,,,C,B,52,62,75,77,78,76,72,55,67,77,88,81,84,20,20,20,20,,Aggressive,ARG,manutd,,
Shaw,DF,FB,WCB,L,unnatural,B,D,46,71,76,78,78,77,82,67,69,77,83,79,79,20,20,20,20,,,ENG,manutd,,
Casemiro,MF,CDM,DLP,,,B,C,69,71,85,77,83,80,68,70,46,81,77,82,77,20,20,20,20,Aerial Threat,,BRA,manutd,,
Mainoo,MF,B2B,CDM,,,B,B,73,74,64,82,79,79,67,55,68,73,74,73,74,20,20,20,20,Press-Resistant,,ENG,manutd,,
Fernandes,MF,CAM,CM,,,A,A,82,86,65,89,92,93,85,85,67,61,69,66,64,20,20,20,20,Playmaker,Ice Veins,POR,manutd,,
Amad,FW,IF,WM,R,proficient,B,C,77,78,59,82,74,78,76,60,85,45,65,54,59,20,20,20,20,Tight Ctrl,Super Sub,CIV,manutd,,
Mbeumo,FW,IF,Poacher,R,proficient,A,B,87,84,63,86,75,80,84,72,90,73,81,49,52,20,20,20,20,Pchr,Clutch,CMR,manutd,,
Cunha,FW,Channel Forward,IF,L,unnatural,B,B,85,80,68,87,78,81,79,70,79,73,79,44,42,20,20,20,20,Long Shot Specialist,,BRA,manutd,,
Bayındır,GK,GK-S,,,,B,C,30,34,34,36,45,56,31,34,45,68,77,30,34,77,72,71,70,,,TUR,manutd,,
Sesko,FW,AF,,,,B,B,81,81,82,80,68,63,56,56,86,83,94,46,39,20,20,20,20,Aerial Threat,Clutch,SVN,manutd,,
Dorgu,DF,WB,WM,L,unnatural,C,A,68,73,67,76,70,71,76,52,86,74,82,71,73,20,20,20,20,,,DEN,manutd,,
De Ligt,DF,CB,,,,B,C,52,44,85,72,75,45,52,55,62,91,86,82,83,20,20,20,20,Block,,NED,manutd,,
Mazraoui,DF,CB,FB,R,comfortable,B,C,69,76,73,81,77,77,79,42,75,69,81,78,80,20,20,20,20,,,MAR,manutd,,
Mount,MF,CAM,IF,L,unnatural,C,C,75,77,56,80,79,78,80,82,67,55,63,62,63,20,20,20,20,,,ENG,manutd,,
Ugarte,MF,CDM,,,,C,C,65,71,60,76,76,73,62,58,62,74,69,77,83,20,20,20,20,,,URU,manutd,,
Malacia,DF,FB,,L,unnatural,D,C,49,53,67,73,69,70,69,49,77,69,74,72,75,20,20,20,20,,,NED,manutd,,
Zirkzee,FW,SS,,,,B,C,77,78,73,85,74,79,61,66,71,84,86,41,40,20,20,20,20,,,NED,manutd,,
Yoro,DF,CB,WCB,,,B,C,38,41,76,69,67,60,47,32,70,75,81,79,79,20,20,20,20,,,FRA,manutd,,
Heaven,DF,CB,,,,C,C,37,35,71,65,65,55,43,33,69,76,81,73,73,20,20,20,20,,,ENG,manutd,,
Heaton,GK,GK-S,,,,C,C,32,32,31,35,42,48,37,33,42,63,68,42,34,67,66,56,65,,,ENG,manutd,,
