name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Meret,GK,GK-SK,,,,C,B,37,30,39,35,35,40,35,31,45,65,66,44,32,82,79,68,74,,,ITA,napoli,,
Di Lorenzo,DF,WB,CB,R,natural,A,A,72,74,72,78,74,68,79,66,84,74,84,79,80,20,20,20,20,Engine,,ITA,napoli,,
Rrahmani,DF,CB,BPD,,,A,C,43,49,80,71,71,48,49,41,69,81,81,84,85,20,20,20,20,,,KVX,napoli,,
Buongiorno,DF,CB,,,,B,C,36,40,80,71,72,66,63,43,69,78,83,84,85,20,20,20,20,Block,,ITA,napoli,,
Olivera,DF,WCB,WB,L,natural,B,B,50,64,68,76,71,62,76,41,70,67,72,77,79,20,20,20,20,,Aggressive,URU,napoli,,
Lobotka,MF,DLP,B2B,,,B,A,68,76,45,85,85,82,75,55,71,61,65,76,80,20,20,20,20,Long Pass,Tempo Dictator,SVK,napoli,,
Anguissa,MF,B2B,CAM,,,B,A,78,82,78,84,83,81,64,56,75,82,87,79,81,20,20,20,20,Engine,,CMR,napoli,,
McTominay,MF,CAM,B2B,,,B,A,84,88,82,87,84,79,66,60,76,81,86,80,84,20,20,20,20,Aerial Threat,Clutch,SCO,napoli,,
Politano,MF,WM,IW,L,proficient,A,C,78,79,40,84,79,80,80,77,80,39,53,59,67,20,20,20,20,Crossing Specialist,,ITA,napoli,,
Lukaku,FW,AF,CF,,,B,C,84,88,83,80,75,82,68,60,79,94,91,41,36,20,20,20,20,Penalty Specialist,Clutch,BEL,napoli,,
Elmas,MF,WM,CM,L,unnatural,C,B,70,75,58,81,76,77,68,54,72,64,72,65,69,20,20,20,20,,,MKD,napoli,,
Milinković-Savić,GK,GK-S,,,,A,C,30,32,32,38,31,58,38,40,43,73,67,43,31,74,77,64,66,,,SRB,napoli,,
Miguel Gutiérrez,MF,WM,WB,R,proficient,B,B,72,81,68,82,79,80,84,45,81,66,78,76,77,20,20,20,20,,,ESP,napoli,,
Juan Jesus,DF,CB,,,,C,C,20,35,74,61,60,34,60,36,58,72,78,77,77,20,20,20,20,,,BRA,napoli,,
Spinazzola,DF,WB,WM,L,proficient,C,C,60,76,68,78,73,74,79,52,85,66,78,76,77,20,20,20,20,Rapid,,ITA,napoli,,
Gilmour,MF,B2B,DLP,,,B,C,53,58,50,77,80,75,65,55,60,49,56,69,72,20,20,20,20,,,SCO,napoli,,
Lucca,FW,TM,,,,C,B,80,79,,74,60,56,56,,63,,87,34,30,20,,,20,,,ITA,napoli,,
David Neres,FW,IF,CAM,R,natural,B,C,76,78,45,85,74,79,74,52,86,59,67,46,48,20,20,20,20,Trickster,,BRA,napoli,,
Højlund,FW,Poacher,,,,C,C,79,79,72,74,61,60,38,48,85,82,90,33,28,20,20,20,20,,,DEN,napoli,,
De Bruyne,MF,AP,CM,,,A,D,78,81,55,89,92,92,93,83,66,74,70,65,65,20,20,20,20,Playmaker,Leader,BEL,napoli,,
Beukema,DF,WCB,CB,R,natural,B,B,50,57,80,67,74,57,42,50,49,74,74,80,81,20,20,20,20,,,NED,napoli,,
Vergara,MF,AP,WM,R,proficient,A,D,66,66,57,69,66,65,65,50,66,51,61,39,30,20,20,20,20,,,ITA,napoli,,
Mazzocchi,DF,WB,WM,R,proficient,C,D,58,68,59,75,73,68,75,59,75,64,71,68,69,20,20,20,20,,,ITA,napoli,,
