name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Cristiano Ronaldo,FW,Poacher,CF,,,B,C,88,89,87,85,73,76,78,81,76,80,95,39,29,20,20,20,20,Clinical,Clutch,POR,psg,,
Mané,FW,IF,False 9,L,comfortable,B,B,81,83,78,85,76,82,77,69,82,72,86,47,35,20,20,20,20,Rapid,Clutch,SEN,psg,,
Coman,FW,IF,Half Winger,L,natural,C,D,72,78,61,87,76,80,79,70,87,66,78,32,23,20,20,20,20,Rapid,,FRA,psg,,
João Félix,FW,SS,Half Winger,,,C,C,81,83,69,82,76,81,76,67,77,60,75,49,45,20,20,20,20,Tight Ctrl,,POR,psg,,
Iñigo Martínez,DF,BPD,CB,,,A,C,42,52,82,76,82,65,53,71,71,82,87,84,86,20,20,20,20,Long Pass,Leader,ESP,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,," ,",,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,psg,,
