name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Gordon,FW,WG,AF,L,comfort,A,B,78,80,59,82,72,79,80,66,91,61,75,50,40,20,20,20,20,Rapid,,ENG,newcastle,,
Trippier,DF,WB,FB,R,proficient,B,C,53,73,76,77,80,80,88,84,64,66,77,78,78,20,20,20,20,Cross,Leader,ENG,newcastle,,
Woltemade,FW,AF,CAM,,,C,C,82,83,80,83,72,79,46,42,67,83,85,44,35,20,20,20,20,Tight Control,Clutch,GER,newcastle,,
Barnes,FW,IF,WG,L,unnatural,C,C,82,81,46,82,72,80,75,69,83,71,70,43,43,20,20,20,20,Rapid,Stage Fright,ENG,newcastle,,
Osula,FW,AF,,,,C,D,74,70,68,71,54,57,49,41,88,76,86,29,18,20,20,20,20,,,DEN,newcastle,,
Wissa,FW,Poacher,AF,,,B,C,84,84,81,80,69,72,72,54,85,68,87,36,31,20,20,20,20,,Clutch,COD,newcastle,,
Jacob Murphy,FW,WG,WM,R,comfort,B,B,80,80,45,80,72,81,84,68,82,69,68,58,65,20,20,20,20,,,ENG,newcastle,,
Elanga,FW,WG,WM,R,natural,C,C,72,78,67,78,69,76,79,66,92,72,84,41,31,20,20,20,20,Rapid,,SWE,newcastle,,
Joelinton,MF,B2B,CAM,,,B,B,75,79,82,82,79,79,73,38,74,90,90,81,84,20,20,20,20,,Aggressive,BRA,newcastle,,
Ramsey,MF,CAM,SS,,,C,C,77,78,56,79,76,77,71,54,77,69,73,66,68,20,20,20,20,,,ENG,newcastle,,
Willock,MF,CM,AP,,,C,C,74,75,70,78,76,79,67,46,75,65,75,71,76,20,20,20,20,,,ENG,newcastle,,
Miley,MF,DLP,FB,R,unnatural,C,C,64,72,70,77,78,77,75,59,67,73,75,74,78,20,20,20,20,,,ENG,newcastle,,
Bruno Guimarães,MF,CM,DLP,,,A,A,73,77,66,86,88,86,77,63,66,76,75,78,82,20,20,20,20,Playmaker,Leader,BRA,newcastle,,
Tonali,MF,CDM,CM,,,A,A,69,76,70,84,85,79,78,81,80,82,84,80,84,20,20,20,20,Engine,,ITA,newcastle,,
Hall,DF,FB,IWB,L,unnatural,B,B,60,73,64,79,79,78,84,70,77,56,71,77,82,20,20,20,20,,,ENG,newcastle,,
Alex Murphy,DF,WB,,,,C,D,40,43,60,60,59,45,56,35,66,75,73,64,63,20,20,20,20,,,IRL,newcastle,,
Burn,DF,CB,WCB,,,A,C,26,61,80,69,72,61,68,45,42,90,71,80,78,20,20,20,20,Aerial Threat,,ENG,newcastle,,
Botman,DF,CB,,,,B,D,24,45,81,74,76,59,43,38,56,89,82,82,82,20,20,20,20,,Aggressive,NED,newcastle,,
Thiaw,DF,CB,,,,C,C,43,44,82,76,80,69,55,44,75,83,90,82,82,20,20,20,20,,,GER,newcastle,,
Schär,DF,BPD,CB,,,A,C,60,64,82,78,82,79,67,69,51,80,80,83,85,20,20,20,20,Long ball,,SUI,newcastle,,
Livramento,DF,WB,FB,R,natural,B,C,49,72,56,78,70,68,79,51,82,71,75,74,78,20,20,20,20,,,ENG,newcastle,,
Krafth,DF,FB,WCB,R,unnatural,C,D,56,56,69,73,73,62,72,54,53,72,70,74,74,20,20,20,20,,,SWE,newcastle,,
Pope,GK,GK-S,,,,B,C,34,33,31,35,47,50,31,32,48,75,80,35,33,81,79,77,68,Cross Claim,,ENG,newcastle,,
Ramsdale,GK,GK-S,,,,C,C,34,38,35,36,56,65,35,36,48,64,77,31,34,79,76,59,80,GK Parry,,ENG,newcastle,,
Ruddy,GK,GK-S,,,,C,C,32,35,32,33,31,39,34,32,35,70,65,31,32,66,68,76,65,,,ENG,newcastle,,
