name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Gibbs-White,MF,CAM,,,,,B,77,79,70,85,82,83,80,72,76,68,77,61,60,20,20,20,20,,Clutch,ENG,,,
Anderson,MF,B2B,CDM,,,,A,66,76,76,81,82,81,80,67,72,75,84,79,80,20,20,20,20,Engine,,ENG,,,
Murillo,DF,WCB,,,,,C,33,40,79,73,76,62,53,56,80,90,95,82,83,20,20,20,20,,Aggressive,BRA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson,GK,GK-S,,,,,C,30,30,33,35,46,55,34,30,56,64,83,33,31,82,79,80,79,,,ENG,,,
Muñoz,DF,WB,WCB,R,unnatural,,A,72,76,78,77,76,70,80,34,78,74,85,80,79,20,20,20,20,,,COL,,,
Lacroix,DF,CB,,,,,C,29,32,77,69,72,55,35,26,88,84,85,80,83,20,20,20,20,,,FRA,,,
Kamada,MF,CAM,B2B,,,,B,74,76,56,80,78,81,75,73,71,55,66,63,69,20,20,20,20,,,JPN,,,
Wharton,MF,DLP,,,,,C,60,66,62,82,86,85,79,71,62,66,68,74,78,20,20,20,20,Press-Resistant,,ENG,,,
Mateta,FW,AF,,,,,D,84,85,79,80,70,74,59,54,74,88,87,45,41,20,20,20,20,,Clutch,FRA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Thiago,FW,TM,Poacher,,,,C,85,84,82,79,68,72,47,46,74,87,91,47,39,20,20,20,20,Poacher,,BRA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verbruggen,GK,GK-S,,,,,C,32,34,35,33,38,43,30,35,56,72,80,35,39,83,77,65,81,,,NED,,,
Mitoma,MF,WM,,L,unnatural,,C,79,78,52,88,72,80,77,62,85,60,71,56,57,20,20,20,20,Tight Ctrl,,JPN,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robinson,DF,WB,,L,unnatural,,B,45,76,64,77,75,78,80,39,88,73,82,76,81,20,20,20,20,,,USA,,,
Wilson,MF,WM,Half Winger,,,,C,80,78,69,81,76,81,81,84,78,53,71,48,40,20,20,20,20,,Clutch,WAL,,,
