name,pos,role,pos2,side,comfort,con,end,fin,pos_,spd,ctr,cro,vis,pas,jum,int,def,fk,str,hdr,ref,han,swp,dis,skill,mental,nat,start
Courtois,GK,GK-S,,,,A,C,34,33,52,33,34,44,33,68,35,46,30,70,33,92,89,66,76,GK Cross Claim,,BEL,Y
T.Alexander-Arnold,DF,IWB,DLP,R,unnatural,B,B,64,79,76,85,93,88,89,75,84,80,85,68,69,20,20,20,20,Crossing Specialist,Clutch,ENG,Y
Rudiger,DF,CB,BPD,,,B,C,40,54,76,74,68,61,80,88,80,83,56,88,83,20,20,20,20,Block,Aggressive,GER,Y
Militao,DF,CB,,,,B,B,48,64,81,75,69,65,77,91,84,85,40,79,86,20,20,20,20,,,BRA,N
Mendy,DF,FB,,L,unnatural,C,B,63,76,83,74,74,74,76,87,79,78,45,84,70,20,20,20,20,,,FRA,Y
Tchouameni,MF,CDM,B2B,,,B,B,65,74,71,81,68,81,85,84,85,81,53,82,75,20,20,20,20,Aerial Threat,Aggressive,FRA,Y
Valverde,MF,B2B,WM,,,A,A,80,86,88,88,78,86,88,81,86,83,72,82,63,20,20,20,20,Long Shot Specialist,,URU,Y
Bellingham,MF,CM,CAM,,,A,A,88,91,80,91,66,90,89,85,82,78,68,80,75,20,20,20,20,Engine,Ice Veins,ENG,Y
Vinicius,FW,IF,Channel Forward,L,proficient,A,B,87,86,94,89,81,85,80,74,26,29,62,65,50,20,20,20,20,Rapid,Clutch,BRA,Y
Mbappe,FW,AF,IF,L,proficient,A,B,99,89,96,89,58,76,71,84,38,37,60,77,78,20,20,20,20,Rapid,Clutch,FRA,Y
Rodrygo,FW,IF,WM,R,natural,B,B,83,83,88,87,79,83,76,77,21,31,77,59,67,20,20,20,20,,,BRA,Y
Lunin,GK,GK-S,,,,B,C,38,33,40,35,35,60,36,62,39,37,35,61,32,81,78,69,79,,,UKR,N
Alaba,DF,CB,FB,L,unnatural,B,C,62,71,68,82,83,78,82,80,82,80,85,77,75,20,20,20,20,,,AUT,N
Carvajal,DF,FB,,R,unnatural,A,B,56,75,77,84,83,78,79,84,81,81,47,74,46,20,20,20,20,Block,Leader,ESP,N
Camavinga,MF,B2B,IWB,,,B,B,64,71,80,85,77,79,85,82,81,79,59,79,64,20,20,20,20,Engine,,FRA,N
Ceballos,MF,CM,DLP,,,C,C,68,78,61,84,74,81,82,57,77,72,67,61,41,20,20,20,20,Block,,ESP,N
Brahim,FW,IW,CAM,R,comfortable,C,B,75,77,82,85,76,81,79,60,35,31,61,58,30,20,20,20,20,Tight Ctrl,Super Sub,MAR,N
Guler,MF,CAM,IW,R,comfortable,C,B,76,80,75,85,82,85,83,54,55,52,77,43,41,20,20,20,20,Playmaker,,TUR,N
Álvaro Carreras,DF,WB,WM,L,unnatural,B,A,66,76,85,82,78,77,78,80,80,74,45,76,59,20,20,20,20,,,ESP,N
Huijsen,DF,BPD,CB,,,B,C,44,59,71,81,50,75,83,86,81,82,49,78,83,20,20,20,20,Long Pass,,ESP,Y
Asencio,DF,CB,FB,R,unnatural,B,C,35,46,83,74,34,57,79,90,76,78,35,78,79,20,20,20,20,,Aggressive,ESP,N
Fran García,DF,WB,,L,unnatural,B,B,42,70,87,77,72,67,69,75,73,70,36,69,54,20,20,20,20,,,ESP,N
Mastantuono,FW,CAM,IF,R,unnatural,B,C,70,76,76,80,72,78,74,66,53,50,74,60,47,20,20,20,20,,,ARG,N
Gonzalo García,FW,AF,IF,R,unnatural,B,C,75,74,70,71,58,64,63,83,44,45,51,74,77,20,20,20,20,,,ESP,N
Thiago Pitarch,MF,CM,DLP,,,C,C,53,68,65,68,53,75,70,55,60,54,35,46,45,20,20,20,20,,,ESP,N
Ángel,MF,CM,CAM,,,C,D,54,55,69,72,53,65,68,40,49,48,49,49,48,20,20,20,20,,,ESP,N
