name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV and upload to GitHub
Courtois,GK,GK-S,,,,A,C,34,33,33,33,33,44,34,30,52,70,86,46,35,90,89,66,76,GK Cross Claim,,BEL,realmadrid,,
T.Alexander-Arnold,DF,IWB,DLP,R,unnatural,B,B,64,79,69,85,89,88,93,85,76,68,75,80,84,20,20,20,20,Crossing Specialist,Clutch,ENG,realmadrid,,
Rudiger,DF,CB,BPD,,,B,C,40,54,83,74,80,61,68,56,76,88,88,83,80,20,20,20,20,Block,Aggressive,GER,realmadrid,,
Militao,DF,CB,,,,B,B,48,64,86,75,77,65,69,40,81,79,91,85,84,20,20,20,20,,,BRA,realmadrid,,
Mendy,DF,FB,,L,unnatural,C,B,63,76,70,74,76,74,74,45,83,84,87,78,79,20,20,20,20,,,FRA,realmadrid,,
Tchouameni,MF,CDM,B2B,,,B,B,65,74,75,81,85,81,68,53,71,82,84,81,85,20,20,20,20,Aerial Threat,Aggressive,FRA,realmadrid,,
Valverde,MF,B2B,WM,,,A,A,80,86,63,88,88,86,78,72,88,82,81,83,86,20,20,20,20,Long Shot Specialist,,URU,realmadrid,,
Bellingham,MF,CM,CAM,,,A,A,88,91,75,91,89,90,66,68,80,80,85,78,82,20,20,20,20,Engine,Ice Veins,ENG,realmadrid,,
Vinicius,FW,IF,Channel Forward,L,proficient,A,B,87,86,50,89,80,85,81,62,94,65,74,29,26,20,20,20,20,Rapid,Clutch,BRA,realmadrid,,
Mbappe,FW,AF,IF,L,proficient,A,B,91,89,78,89,71,76,58,60,96,77,84,37,38,20,20,20,20,Rapid,Clutch,FRA,realmadrid,,
Rodrygo,FW,IF,WM,R,natural,B,B,83,83,67,87,76,83,79,77,88,59,77,31,21,20,20,20,20,,,BRA,realmadrid,,
Lunin,GK,GK-S,,,,B,C,38,33,32,35,36,60,35,35,40,61,80,37,39,81,78,69,79,,,UKR,realmadrid,,
Alaba,DF,CB,FB,L,unnatural,B,C,62,71,75,82,82,78,83,85,68,77,80,80,82,20,20,20,20,,,AUT,realmadrid,,
Carvajal,DF,FB,,R,unnatural,A,B,56,75,46,84,79,78,83,47,77,74,84,81,81,20,20,20,20,Block,Leader,ESP,realmadrid,,
Camavinga,MF,B2B,IWB,,,B,B,64,71,64,85,85,79,77,59,80,79,82,79,81,20,20,20,20,Engine,,FRA,realmadrid,,
Ceballos,MF,CM,DLP,,,C,C,68,78,41,84,82,81,74,67,61,61,57,72,77,20,20,20,20,Block,,ESP,realmadrid,,
Brahim,FW,IW,CAM,R,comfortable,C,B,75,77,30,85,79,81,76,61,82,58,60,31,35,20,20,20,20,Tight Ctrl,Super Sub,MAR,realmadrid,,
Guler,MF,CAM,IW,R,comfortable,C,B,76,80,41,85,83,85,82,77,75,43,54,52,55,20,20,20,20,Playmaker,,TUR,realmadrid,,
Álvaro Carreras,DF,WB,WM,L,unnatural,B,A,66,76,59,82,78,77,78,45,85,76,80,74,80,20,20,20,20,,,ESP,realmadrid,,
Huijsen,DF,BPD,CB,,,B,C,44,59,83,81,83,75,50,49,71,78,86,82,81,20,20,20,20,Long Pass,,ESP,realmadrid,,
Asencio,DF,CB,FB,R,unnatural,B,C,35,46,79,74,79,57,34,35,83,78,90,78,76,20,20,20,20,,Aggressive,ESP,realmadrid,,
Fran García,DF,WB,,L,unnatural,B,B,42,70,54,77,69,67,72,36,87,69,75,70,73,20,20,20,20,,,ESP,realmadrid,,
Mastantuono,MF,CAM,IF,R,unnatural,B,C,70,76,47,80,74,78,72,74,76,60,66,50,53,20,20,20,20,,,ARG,realmadrid,,
Gonzalo García,FW,AF,IF,R,unnatural,B,C,75,74,77,71,63,64,58,51,70,74,83,45,44,20,20,20,20,,,ESP,realmadrid,,
Thiago Pitarch,MF,CM,DLP,,,C,C,53,68,45,68,70,75,53,35,65,46,55,54,60,20,20,20,20,,,ESP,realmadrid,,
Ángel,MF,CM,CAM,,,C,D,54,55,48,72,68,65,53,49,69,49,40,48,49,20,20,20,20,,,ESP,realmadrid,,
