name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Lo Celso,MF,CAM,SS,,,,D,79,81,62,83,82,84,80,84,76,65,74,67,70,20,20,20,20,,,ARG,,,
Antony,FW,IW,WM,R,unnatural,,C,9,81,45,83,77,81,79,75,85,65,69,45,53,20,20,20,20,,,BRA,,,
Isco,MF,AP,SS,,,,D,80,85,55,86,84,88,84,76,64,55,62,57,61,20,20,20,20,Tight Ctrl,Ice Veins,ESP,,,
Raum,DF,WB,IF,L,unnatural,,A,59,73,64,81,78,80,90,78,86,77,83,75,77,20,20,20,20,Crossing Specialist,,GER,,,
Ederson,GK,GK-SK,,,,,C,34,50,34,45,66,70,30,30,64,78,80,39,37,81,81,84,91,Long Pass,,BRA,,,
kante,MF,CDM,B2B,,,,A,64,72,57,80,78,75,68,49,74,71,75,80,88,20,20,20,20,Interception,,FRA,,,
Kubo,FW,IF,AP,R,natural,,C,77,78,49,84,74,78,78,74,86,60,70,45,28,20,20,20,20,Tight Ctrl,,JPN,,,
Oryarzabal,FW,AF,,,,,B,85,86,76,85,80,83,78,76,74,72,82,46,32,20,20,20,20,,,ESP,,,
Diogo Costa,GK,GK-S,,,,,C,6,18,11,30,52,67,13,10,36,63,83,14,18,86,78,67,82,,,POR,,,
Otamendi,DF,CB,,,,,B,54,55,83,66,75,62,52,39,58,81,90,81,82,20,20,20,20,,Aggressive,ARG,,,
Son,FW,AF,IF,L,unnatural,,B,84,85,72,85,78,83,81,78,83,69,82,45,39,20,20,20,20,Poacher,Clutch,KOR,,,
Ibañez,DF,CB,BPD,,,,B,27,39,82,66,62,57,34,35,87,84,89,83,85,20,20,20,20,Block,,BRA,,,
Mahrez,MF,WM,IW,R,unnatural,,C,80,83,56,89,78,83,83,80,76,60,71,39,39,20,20,20,20,Tight Ctrl,,ALG,,,
Mendy,GK,GK-S,,,,,C,35,36,30,31,54,50,30,34,34,72,83,31,33,81,77,63,77,,,SEN,,,
Toney,FW,AF,,,,,C,86,85,85,80,71,74,63,73,72,85,90,54,52,20,20,20,20,,Aggressive,ENG,,,
Doan,MF,WM,WB,,,,A,74,79,59,82,75,82,76,68,82,59,79,46,44,20,20,20,20,,,JPN,,,
Fabinho,MF,CDM,CB,,,,B,63,70,74,81,82,73,76,53,52,83,75,80,82,20,20,20,20,,Aggressive,BRA,,,
Thiago Silva,DF,CB,WCB,,,,D,43,58,83,81,84,73,62,60,34,80,75,85,84,20,20,20,20,,Leader,BRA,,,
