name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Luis Suárez,FW,AF,Poacher,,,B,B,84,82,73,78,66,69,66,60,83,76,86,44,56,20,20,20,20,,,COL,sportingcp,,
Ioannidis,FW,AF,Complete Fwd,,,B,C,79,78,75,79,65,65,50,50,77,79,86,40,34,20,20,20,20,,,GRE,sportingcp,,
Pedro Gonçalves,MF,CAM,WG,L,comfort,A,B,84,84,59,84,82,86,83,81,77,62,72,61,71,20,20,20,20,Tight Control,,POR,sportingcp,,
Nuno Santos,MF,WM,WB,L,unnatural,B,C,77,78,59,79,74,76,78,78,76,67,73,67,70,20,20,20,20,,Clutch,POR,sportingcp,,
Ricardo Mangas,MF,WM,WB,L,proficient,B,B,70,75,64,75,66,67,74,51,79,69,77,65,68,20,20,20,20,,,POR,sportingcp,,
Trincão,FW,IF,AP,R,comfort,B,B,82,82,66,83,80,83,77,75,80,72,79,43,37,20,20,20,20,Trickster,,POR,sportingcp,,
João Simões,MF,CM,CAM,,,C,C,62,67,46,72,73,68,62,64,72,66,64,59,67,20,20,20,20,,,POR,sportingcp,,
Daniel Bragança,MF,CM,CAM,,,C,C,74,72,49,81,80,79,65,73,79,58,64,65,72,20,20,20,20,,,POR,sportingcp,,
Geny Catamo,MF,WM,WG,R,natural,B,B,74,76,52,82,65,72,72,54,92,50,68,62,65,20,20,20,20,Rapid,Clutch,MOZ,sportingcp,,
Geovany Quenda,MF,WM,WG,R,natural,C,C,63,74,35,81,72,74,71,70,85,68,66,39,40,20,20,20,20,Rapid,,POR,sportingcp,,
Luis Guilherme,MF,WM,CAM,R,comfort,C,D,64,66,55,75,63,64,68,51,76,66,70,35,19,20,20,20,20,,,BRA,sportingcp,,
Morita,MF,CM,DLP,,,C,B,73,75,47,79,79,77,70,57,68,77,68,69,75,20,20,20,20,Press-Resistant,Tempo Dictate,JPN,sportingcp,,
Hjulmand,MF,CDM,CM,,,A,A,76,78,68,80,81,82,72,61,70,81,79,78,83,20,20,20,20,Interception,Leader,DEN,sportingcp,,
Kochorashvili,MF,CDM,WM,L,unnatural,C,B,68,63,62,79,76,71,62,75,72,73,76,67,71,20,20,20,20,Long Throw,,GEO,sportingcp,,
Araújo,MF,WM,WB,L,unnatural,B,B,71,74,62,80,72,72,74,58,86,68,79,69,73,20,20,20,20,,,URU,sportingcp,,
Gonçalo Inácio,DF,BPD,,,,A,B,23,64,83,75,83,75,52,37,78,82,85,82,82,20,20,20,20,Long Shot,,POR,sportingcp,,
Diomande,DF,CB,,,,C,B,20,24,79,69,72,38,28,34,80,90,93,78,76,20,20,20,20,Aerial Threat,Aggressive,CIV,sportingcp,,
Debast,DF,BPD,CDM,,,C,B,51,53,77,78,79,71,77,71,70,73,81,78,78,20,20,20,20,,,BEL,sportingcp,,
Eduardo Quaresma,DF,CB,FB,,unnatural,B,C,45,65,72,74,69,68,65,35,82,77,88,77,76,20,20,20,20,,,POR,sportingcp,,
Fresneda,DF,WB,WM,R,proficient,C,B,57,58,60,77,61,53,65,30,81,67,75,70,70,20,20,20,20,,,ESP,sportingcp,,
Vagiannidis,DF,WB,WM,R,unnatural,C,B,65,52,59,76,70,68,73,45,82,63,74,70,71,20,20,20,20,,,GRE,sportingcp,,
Diego Callai,GK,GK-S,,,,C,C,34,25,31,34,33,31,31,32,32,77,68,30,32,70,65,55,66,,,ITA,sportingcp,,
João Virgínia,GK,GK-S,,,,C,C,30,38,30,35,31,41,34,33,52,57,73,31,30,75,74,61,66,,,POR,sportingcp,,
Rui Silva,GK,GK-S,GK-SK,,,B,C,30,30,34,34,30,55,33,37,31,76,82,29,32,84,78,90,77,GK Parry,,POR,sportingcp,,
