name,pos,role,pos2,side,comfort,con,end,fin,pos_,hdr,ctr,pas,vis,cro,fk,spd,str,jum,def,int,ref,han,swp,dis,skill,mental,nat,team,,← Download this sheet as CSV → upload to GitHub
Vicario,GK,GK-S,,,,B,C,36,33,31,41,56,68,31,30,52,60,80,52,35,82,78,64,78,,,ITA,spurs,,
Porro,DF,WB,WM,R,unnatural,C,A,68,76,69,81,79,80,87,78,78,68,77,77,78,20,20,20,20,,,ESP,spurs,,
Romero,DF,CB,BPD,,,C,C,48,43,85,67,73,60,42,38,66,83,86,83,84,20,20,20,20,Aerial Threat,Aggressive,ARG,spurs,,
Danso,DF,CB,,,,C,C,36,43,81,68,65,52,44,31,73,90,83,78,77,20,20,20,20,,,AUT,spurs,,
Van de Ven,DF,CB,FB,L,unnatural,C,B,43,48,79,75,75,59,58,34,90,85,92,82,83,20,20,20,20,Rapid,,NED,spurs,,
Spence,DF,WB,WM,L,natural,C,B,38,75,71,78,71,72,76,30,88,75,87,74,74,20,20,20,20,,,ENG,spurs,,
Palhinha,MF,CDM,CB,,,B,B,66,69,88,76,77,71,60,45,56,81,83,84,85,20,20,20,20,Block,Aggressive,POR,spurs,,
Sarr,MF,CDM,CM,,,B,B,65,73,75,79,80,77,72,60,68,71,76,77,80,20,20,20,20,,,SEN,spurs,,
Simons,FW,CAM,WM,L,unnatural,C,B,79,79,60,86,81,85,74,65,77,62,68,61,65,20,20,20,20,Tight Ctrl,,NED,spurs,,
Kolo Muani,FW,WG,IF,R,comfortable,C,C,79,80,78,79,69,76,64,62,90,69,88,38,38,20,20,20,20,,,FRA,spurs,,
Tel,FW,IF,AF,R,natural,C,D,79,77,70,77,66,71,67,56,86,67,80,39,38,20,20,20,20,,,FRA,spurs,,
Dragusin,DF,CB,,,,C,D,37,35,75,65,65,48,36,33,67,78,81,75,76,20,20,20,20,,,ROU,spurs,,
Udogie,DF,WB,,L,unnatural,C,B,64,76,69,79,71,75,80,51,88,77,85,76,79,20,20,20,20,,,ITA,spurs,,
Davies Ben,DF,CB,,,,C,D,58,60,73,4,75,64,71,48,53,70,72,77,77,20,20,20,20,,,WAL,spurs,,
Bissouma,MF,CDM,B2B,,,B,C,58,68,65,79,84,74,65,75,66,74,74,76,78,20,20,20,20,,,CIV,spurs,,
Maddison,MF,CAM,CM,,,B,B,80,83,35,86,86,87,84,87,67,56,55,58,58,20,20,20,20,Dead Ball,Ice Veins,ENG,spurs,,
Odobert,FW,WG,IF,L,comfortable,C,C,69,76,44,79,66,73,74,57,86,43,56,30,33,20,20,20,20,,,FRA,spurs,,
Bergvall,MF,CAM,B2B,,,B,B,65,73,54,78,80,78,68,65,75,70,72,71,77,20,20,20,20,,,SWE,spurs,,
Kinský,GK,GK-S,,,,C,D,36,36,34,30,42,47,33,34,35,60,76,35,31,75,76,91,76,,,CZE,spurs,,
Gray,MF,CM,CDM,,,C,C,59,68,78,77,77,73,68,55,72,72,75,74,76,20,20,20,20,,,ENG,spurs,,
Kulusevski,MF,WM,CAM,R,comfortable,C,A,82,83,52,86,82,86,84,68,74,78,75,62,65,20,20,20,20,Crossing Specialist,,SWE,spurs,,
Richarlison,FW,IF,WG,L,unnatural,C,C,79,80,82,79,68,74,73,65,76,74,88,53,46,20,20,20,20,Aerial Threat,,BRA,spurs,,
Solanke,FW,TM,AF,,,C,B,81,83,83,79,68,70,55,48,71,84,88,42,43,20,20,20,20,Aerial Threat,,ENG,spurs,,
Kudus,FW,WG,Channel Forward,R,comfortable,C,C,76,78,55,83,72,77,78,58,89,78,75,60,59,20,20,20,20,,,GHA,spurs,,
Bentancur,MF,CDM,CM,,,B,C,68,73,64,81,81,78,74,68,64,70,70,78,83,20,20,20,20,,,URU,spurs,,
Gallagher,MF,B2B,CDM,,,B,A,74,82,68,80,82,80,75,73,75,78,79,79,80,20,20,20,20,Track Back,,ENG,spurs,,
